transaction_id,customer_id,payment_method,amount,promo_id,time_id
127,393,Credit Card,21939.93,P01,331
128,287,Cash,5081.4,P01,85
129,608,E-Wallet,39720.23,P02,338
130,705,Cash,41264.14,,284
131,443,E-Wallet,42666.68,P02,28
132,846,Cash,7865.04,P02,77
133,395,E-Wallet,43585.34,,131
134,889,Credit Card,20234.24,P02,359
135,570,Credit Card,21118.07,P02,326
136,26,Credit Card,37097.0,P01,148
137,186,Cash,43097.91,,202
138,965,Cash,28017.15,P01,210
139,746,E-Wallet,16496.51,,293
140,347,Cash,20894.39,P02,294
141,976,E-Wallet,42403.34,P02,330
142,649,E-Wallet,43755.07,P02,67
143,889,Credit Card,15736.78,,332
144,317,E-Wallet,37257.96,P01,344
145,227,E-Wallet,14652.22,P02,291
146,295,E-Wallet,40801.89,,236
147,202,Credit Card,26631.26,P01,330
148,356,Cash,48791.92,,257
149,445,Cash,31491.87,P01,58
150,266,Cash,22266.53,P01,328
151,947,E-Wallet,49152.98,P01,215
152,688,E-Wallet,21916.76,P01,60
153,946,Cash,29975.91,P02,30
154,894,Cash,39454.43,P01,214
155,648,Credit Card,38787.14,P02,176
156,138,Credit Card,37348.91,P02,295
157,87,Credit Card,9247.15,P01,255
158,447,E-Wallet,13081.57,P02,90
159,164,Cash,24101.14,P01,314
160,44,E-Wallet,10745.11,,327
161,646,Credit Card,8029.63,P01,312
162,652,Cash,13635.32,P01,70
163,542,E-Wallet,24680.37,,284
164,601,Credit Card,40173.34,P01,208
165,837,Credit Card,42848.14,,261
166,160,Cash,40557.79,P02,258
167,916,Credit Card,28310.0,P01,44
168,658,E-Wallet,30700.44,P01,63
169,216,E-Wallet,16360.78,P01,195
170,539,Credit Card,14242.24,P02,176
171,490,E-Wallet,7870.73,,119
172,746,Cash,16549.87,P02,6
173,965,Credit Card,43602.23,,236
174,147,Credit Card,29813.37,P01,153
175,384,Cash,16725.7,,87
176,473,E-Wallet,48037.81,,331
177,337,Cash,49574.0,,22
178,824,E-Wallet,27905.32,,216
179,80,Cash,28895.14,P01,285
180,957,Cash,48529.68,,155
181,512,Credit Card,39785.82,P01,72
182,327,Cash,35483.26,P02,227
183,745,E-Wallet,23526.97,P01,52
184,934,Credit Card,16858.85,,261
185,167,Cash,5400.97,P02,177
186,215,Credit Card,27594.59,P01,121
187,815,Cash,41045.35,P01,41
188,211,E-Wallet,25596.29,P02,357
189,558,E-Wallet,17701.31,P01,264
190,458,E-Wallet,47900.98,P01,273
191,836,Cash,16667.34,P01,2
192,393,Cash,23388.01,P01,248
193,542,E-Wallet,7613.81,,159
194,145,Credit Card,22367.34,,263
195,447,Credit Card,11648.4,P01,116
196,66,Cash,22838.05,,351
197,338,Cash,44668.26,,42
198,547,Credit Card,12271.49,,261
199,581,Credit Card,15604.94,P02,329
200,333,Credit Card,45834.3,P01,199
201,404,Cash,44292.49,P02,7
202,94,Cash,17720.82,P01,211
203,792,Cash,17337.37,P01,288
204,417,Credit Card,32068.68,P02,42
205,153,E-Wallet,47514.07,P02,20
206,369,Credit Card,49598.29,P01,322
207,548,Credit Card,29282.83,P02,321
208,704,E-Wallet,17890.45,P02,202
209,355,E-Wallet,10817.61,P02,32
210,991,Credit Card,44674.0,P02,344
211,806,Cash,34340.93,P02,271
212,22,Cash,5433.04,,245
213,873,Credit Card,17085.57,P02,52
214,498,Cash,20068.94,P01,176
215,1,E-Wallet,30124.18,P01,246
216,234,Credit Card,22537.71,P02,160
217,44,E-Wallet,30168.8,P02,304
218,876,Cash,45665.3,P01,308
219,23,E-Wallet,20834.3,P02,343
220,57,Cash,11083.48,,210
221,38,E-Wallet,11847.95,P02,86
222,522,Credit Card,26874.73,P01,143
223,103,E-Wallet,43842.37,P02,30
224,532,Credit Card,6556.91,P01,240
225,62,E-Wallet,10492.24,P02,310
226,852,Credit Card,26780.28,P01,123
227,680,Cash,14486.57,P02,164
228,70,Credit Card,15617.12,P01,216
229,787,Cash,32012.12,,163
230,107,E-Wallet,7760.42,P01,123
231,769,Cash,22120.03,P02,252
232,467,Cash,33060.25,P02,239
233,298,Credit Card,25078.27,P01,234
234,517,E-Wallet,31649.37,P01,264
235,349,E-Wallet,8911.31,P01,186
236,866,E-Wallet,26877.88,,40
237,510,Credit Card,43474.19,P02,152
238,969,Cash,17639.17,,144
239,358,Cash,18413.7,P01,107
240,26,Cash,10175.68,P01,232
241,997,E-Wallet,21306.21,P02,328
242,559,Cash,22566.04,P01,166
243,545,Cash,19038.95,,56
244,761,Credit Card,33009.14,P02,361
245,66,Cash,8678.45,,299
246,675,Cash,5898.58,P01,15
247,896,E-Wallet,36653.52,P01,345
248,74,Cash,35673.06,,291
249,780,Credit Card,21534.08,P02,316
250,175,E-Wallet,5098.75,P01,250
251,176,E-Wallet,43328.04,P01,324
252,546,Credit Card,45889.75,,161
253,233,E-Wallet,19801.11,,236
254,896,E-Wallet,6521.54,P02,310
255,396,Credit Card,31970.46,P01,173
256,412,Cash,45642.39,,100
257,477,Cash,22137.13,P02,297
258,168,E-Wallet,27165.07,P01,49
259,744,Cash,13936.77,P01,351
260,131,E-Wallet,10647.11,P02,326
261,342,Cash,37333.14,,194
262,196,Credit Card,20048.17,P02,322
263,80,Credit Card,35133.79,P01,27
264,697,Cash,20690.72,P01,356
265,255,E-Wallet,43373.5,P01,112
266,802,Credit Card,18814.08,,53
267,333,E-Wallet,22154.99,P01,347
268,804,Credit Card,40520.63,P01,160
269,202,Credit Card,43798.91,P01,35
270,934,Cash,27528.78,P02,286
271,421,Credit Card,35474.49,P02,208
272,48,E-Wallet,36518.37,P01,165
273,644,Credit Card,25546.96,P01,85
274,454,E-Wallet,37024.49,P02,231
275,167,Cash,39321.37,P01,232
276,5,Cash,20655.22,,207
277,120,E-Wallet,33430.34,P01,16
278,661,E-Wallet,42153.28,P02,234
279,110,Cash,21535.52,P01,256
280,800,Credit Card,19855.6,P02,284
281,460,Credit Card,22633.52,P01,184
282,272,Cash,13720.38,,108
283,165,Credit Card,19829.19,,54
284,57,E-Wallet,36191.94,,40
285,2,Credit Card,45248.36,P01,66
286,163,Credit Card,46268.89,P01,234
287,135,Credit Card,31988.89,,142
288,870,E-Wallet,32075.89,,252
289,26,E-Wallet,11908.52,,67
290,268,E-Wallet,42626.38,P01,197
291,649,E-Wallet,30754.44,P01,207
292,160,Credit Card,42894.52,P02,92
293,77,Credit Card,47560.08,,334
294,363,Cash,17481.5,P01,106
295,760,Credit Card,11098.92,P02,132
296,33,Cash,36323.89,,241
297,869,E-Wallet,36996.89,P02,156
298,912,E-Wallet,8204.79,P02,55
299,193,E-Wallet,47145.9,P02,307
300,149,Credit Card,38430.11,P02,149
301,704,E-Wallet,36922.01,P02,335
302,521,E-Wallet,26675.49,P01,77
303,382,Cash,15647.51,,137
304,226,Credit Card,37231.05,P02,74
305,900,Cash,29816.63,P01,246
306,127,Credit Card,14619.37,P02,267
307,599,E-Wallet,35293.79,P01,284
308,639,Cash,5172.06,P01,251
309,699,E-Wallet,28756.38,P02,166
310,174,E-Wallet,47900.79,,137
311,163,Cash,20172.91,,229
312,974,Cash,35215.76,P01,21
313,177,Credit Card,8518.46,P02,103
314,130,Credit Card,38999.75,,46
315,508,E-Wallet,14123.76,P01,130
316,8,Credit Card,44644.08,,166
317,350,E-Wallet,36526.29,P01,23
318,482,E-Wallet,12954.8,,2
319,698,Cash,42981.41,,308
320,80,E-Wallet,7266.61,,72
321,967,Credit Card,14201.03,,126
322,760,Credit Card,12527.21,P01,316
323,19,Cash,5802.24,P02,235
324,544,E-Wallet,8810.84,P02,302
325,918,Cash,34957.52,P02,299
326,393,Credit Card,44315.15,P01,1
327,380,Cash,43824.41,P01,333
328,407,E-Wallet,6362.54,P02,114
329,718,Credit Card,37653.57,P01,217
330,484,E-Wallet,5438.82,,30
331,161,E-Wallet,11855.48,,22
332,729,Credit Card,13892.99,P01,192
333,421,E-Wallet,18224.23,P02,206
334,576,Credit Card,8620.53,,65
335,183,Credit Card,23986.9,P01,265
336,839,Credit Card,5910.68,P01,316
337,624,Cash,40054.4,P02,145
338,509,E-Wallet,49168.77,P02,126
339,444,Cash,26678.64,,8
340,885,Credit Card,21063.89,P01,320
341,125,Credit Card,33620.39,,160
342,673,Cash,28754.02,,88
343,725,Credit Card,49261.24,,116
344,724,E-Wallet,7708.02,P01,271
345,323,Cash,42198.36,,308
346,461,Cash,27693.92,P02,46
347,988,Credit Card,13692.93,P01,346
348,266,Cash,29903.23,P01,125
349,303,Cash,18974.7,P01,351
350,384,Credit Card,11076.6,,164
351,759,Cash,18258.69,P01,360
352,814,Credit Card,45517.66,,5
353,772,E-Wallet,19155.38,P01,76
354,579,Cash,40235.34,,231
355,505,Cash,34725.1,P01,99
356,450,E-Wallet,9628.59,P02,183
357,327,Credit Card,14721.73,P01,237
358,431,Cash,34973.23,P01,13
359,880,Credit Card,15547.04,P02,17
360,178,Credit Card,5641.47,,362
361,755,Credit Card,15296.78,,232
362,722,E-Wallet,6725.34,,252
363,2,Cash,7871.32,,106
364,923,Cash,21036.53,P01,134
365,421,Cash,43846.18,,362
366,645,E-Wallet,44005.64,P02,214
367,278,Cash,32854.99,P02,148
368,466,Credit Card,9545.04,P01,115
369,236,Cash,22167.22,P01,189
370,60,E-Wallet,37559.54,P01,22
371,120,Credit Card,20768.49,P01,125
372,137,Credit Card,36191.26,,292
373,789,Credit Card,26981.6,P02,293
374,595,Cash,7888.28,,239
375,222,Credit Card,8625.33,P01,78
376,302,Cash,45882.73,P02,353
377,250,Cash,42821.22,P01,167
378,16,Cash,39407.58,P02,48
379,719,Credit Card,9878.2,P01,30
380,994,Cash,20033.79,P02,341
381,415,Credit Card,44082.31,P02,228
382,367,Credit Card,36809.83,,48
383,888,Credit Card,22255.9,P01,39
384,346,Cash,26455.72,,8
385,57,Credit Card,19737.9,P01,61
386,510,Cash,28916.25,,5
387,764,Cash,29299.43,,222
388,60,E-Wallet,47516.75,P01,332
389,837,E-Wallet,7760.69,P01,29
390,835,Cash,31048.81,P01,253
391,674,E-Wallet,13090.0,P02,152
392,416,Cash,10064.91,,238
393,239,Cash,5517.91,P01,166
394,105,E-Wallet,49818.76,P02,227
395,526,Credit Card,24537.56,P02,296
396,975,Credit Card,26843.92,P01,198
397,770,E-Wallet,16295.91,P01,66
398,1,Credit Card,34464.76,P01,131
399,97,E-Wallet,17425.82,P01,297
400,83,Credit Card,7332.9,,218
401,199,E-Wallet,24731.01,P02,12
402,473,Credit Card,43451.57,P02,6
403,779,Cash,24098.13,P01,13
404,927,Cash,11504.95,P02,17
405,459,Credit Card,29805.6,,239
406,484,Credit Card,17517.08,P02,285
407,849,Credit Card,35219.97,,66
408,393,Cash,29639.9,,327
409,402,Credit Card,15708.4,P01,109
410,330,E-Wallet,32773.59,,142
411,531,Credit Card,14962.63,P02,274
412,92,Cash,5300.38,P02,122
413,29,E-Wallet,9758.07,P02,269
414,443,Cash,26432.85,P01,26
415,142,Cash,47432.48,,140
416,889,Credit Card,47130.01,,247
417,697,Cash,13003.58,P02,262
418,829,E-Wallet,11447.15,P02,312
419,971,E-Wallet,47396.73,,101
420,465,E-Wallet,43314.69,P02,210
421,685,E-Wallet,38743.84,P02,348
422,921,E-Wallet,32639.26,P02,94
423,710,Credit Card,7254.19,P02,115
424,111,Cash,25582.02,,153
425,765,Credit Card,31398.2,P02,90
426,535,E-Wallet,17429.66,P01,133
427,876,Cash,10201.33,P01,189
428,147,Cash,24712.61,,227
429,250,E-Wallet,14166.91,,103
430,170,Cash,12646.08,P01,305
431,29,Cash,38999.52,,35
432,749,E-Wallet,10778.48,,45
433,807,Credit Card,28896.53,P01,31
434,370,Cash,25330.32,,180
435,37,Credit Card,36570.89,P01,199
436,191,E-Wallet,5788.83,,49
437,250,Cash,48000.4,,155
438,266,E-Wallet,31286.04,,281
439,69,E-Wallet,10218.5,P02,184
440,857,Cash,26090.85,,65
441,128,Cash,36653.69,,82
442,79,Cash,44319.29,P01,358
443,39,E-Wallet,26055.58,P02,63
444,50,Credit Card,32814.68,P01,56
445,462,E-Wallet,22621.86,P01,147
446,139,Credit Card,17974.73,,188
447,756,Cash,13923.3,P02,354
448,842,Cash,33524.35,,76
449,942,Credit Card,10720.34,P02,83
450,967,E-Wallet,21734.46,P02,205
451,331,Credit Card,10655.25,P01,61
452,531,Credit Card,9470.6,,87
453,930,Cash,12672.4,P02,215
454,64,Credit Card,5179.15,P01,52
455,122,Credit Card,39635.89,,324
456,88,E-Wallet,34186.2,P02,351
457,660,Credit Card,49528.11,P01,333
458,338,E-Wallet,40310.17,P02,187
459,437,Cash,24747.24,,289
460,980,Credit Card,10610.22,P02,291
461,710,E-Wallet,11788.31,,111
462,700,Credit Card,42874.98,P02,244
463,563,Cash,7959.14,P01,342
464,409,Cash,47983.7,P01,23
465,823,Cash,38486.28,P01,53
466,345,Credit Card,13220.3,,243
467,490,Credit Card,36196.88,P01,364
468,832,Cash,38352.64,,342
469,212,Cash,30332.17,P01,236
470,293,E-Wallet,20421.61,P01,139
471,861,Cash,44466.73,,214
472,209,Credit Card,12674.51,P02,51
473,387,E-Wallet,25900.74,P01,203
474,675,Cash,5180.62,,154
475,72,E-Wallet,35356.05,P02,290
476,456,Cash,11524.92,,326
477,752,Cash,47882.84,P02,193
478,525,Credit Card,18044.26,P01,1
479,498,Credit Card,8981.13,P01,227
480,125,Credit Card,16670.42,P01,228
481,920,Cash,23051.68,,165
482,183,Credit Card,14527.09,,264
483,1,Cash,30199.11,,148
484,272,Credit Card,12975.01,P01,161
485,194,E-Wallet,10949.55,P02,117
486,841,Credit Card,30937.19,P02,6
487,365,E-Wallet,8820.71,,19
488,659,E-Wallet,22922.53,P02,240
489,350,Credit Card,36250.8,P02,317
490,47,Credit Card,19968.3,P01,150
491,704,Cash,18984.63,P01,34
492,657,E-Wallet,10600.47,P02,17
493,863,E-Wallet,30376.32,P02,99
494,691,Cash,24041.07,,181
495,461,E-Wallet,49481.48,P01,269
496,363,Credit Card,25745.83,P02,190
497,562,E-Wallet,28877.93,P02,274
498,104,E-Wallet,15563.08,P02,296
499,918,Cash,38971.62,P01,283
500,258,E-Wallet,43993.01,P01,226
501,23,E-Wallet,23071.28,,310
502,656,Cash,5475.36,P01,164
503,731,Credit Card,21204.74,P02,356
504,694,Credit Card,12846.86,,189
505,780,E-Wallet,39272.45,,282
506,591,E-Wallet,12474.86,P02,216
507,306,Cash,9594.5,,185
508,256,E-Wallet,7447.41,P01,364
509,501,Credit Card,23766.77,,208
510,890,Cash,23171.62,P02,358
511,916,Cash,6069.21,P01,76
512,174,E-Wallet,42998.97,P02,147
513,617,Credit Card,38325.59,,322
514,159,Credit Card,43542.11,,215
515,178,E-Wallet,29297.06,,195
516,729,Cash,49354.76,P02,226
517,82,Credit Card,27167.15,P01,210
518,638,Cash,23286.24,P02,55
519,538,E-Wallet,21717.98,,69
520,830,Cash,23705.12,P02,106
521,483,E-Wallet,7739.53,P02,45
522,313,Cash,22408.83,P01,154
523,967,E-Wallet,38902.97,P01,198
524,915,E-Wallet,40904.58,,145
525,732,Cash,21772.12,P01,88
526,227,E-Wallet,24976.01,,201
527,917,Cash,27382.97,,122
528,876,Cash,12794.01,P02,292
529,130,Cash,36086.71,P01,281
530,801,E-Wallet,6944.59,P02,64
531,748,E-Wallet,17747.65,P02,339
532,52,E-Wallet,20813.47,P02,309
533,263,E-Wallet,26282.75,P01,109
534,807,Cash,47505.75,P02,275
535,507,Cash,22559.17,P02,217
536,491,Credit Card,37159.65,P02,31
537,823,Cash,17018.64,,173
538,275,Credit Card,19388.83,P01,76
539,611,E-Wallet,28848.07,P01,207
540,564,Credit Card,5209.77,P02,271
541,389,Credit Card,30865.91,P01,265
542,623,Credit Card,12535.64,P02,276
543,105,E-Wallet,22617.69,,277
544,381,Cash,39165.35,,11
545,802,Credit Card,43674.07,P01,43
546,483,Cash,33335.98,P02,274
547,583,Credit Card,11611.75,P01,249
548,799,Credit Card,38129.12,P02,13
549,557,Credit Card,10674.16,P01,296
550,750,E-Wallet,8039.85,P02,103
551,37,Credit Card,45642.45,P01,34
552,112,Cash,26140.86,,15
553,781,Credit Card,20368.0,P01,16
554,328,Cash,33092.14,P02,260
555,367,E-Wallet,24809.6,,107
556,513,Credit Card,10556.32,,326
557,109,E-Wallet,40976.79,P01,317
558,188,E-Wallet,10507.21,,344
559,176,Cash,5194.9,P02,62
560,139,Credit Card,30886.62,P02,77
561,493,E-Wallet,46086.3,P01,246
562,943,Credit Card,37978.39,P01,116
563,48,Credit Card,49390.96,P02,232
564,802,Cash,13189.08,,57
565,600,E-Wallet,10513.81,,158
566,275,E-Wallet,33698.35,P01,2
567,67,Cash,37936.62,P02,159
568,144,Cash,41528.79,P01,308
569,351,Cash,45928.35,P02,183
570,777,Credit Card,30529.02,,159
571,41,E-Wallet,18098.28,,292
572,692,Cash,28301.29,P01,335
573,374,E-Wallet,11828.6,P02,176
574,525,Credit Card,18742.64,P01,191
575,927,Credit Card,12685.2,P01,351
576,69,Cash,41592.64,P01,187
577,423,E-Wallet,12896.27,P01,248
578,271,E-Wallet,27236.04,,136
579,23,Cash,47105.84,P02,87
580,690,E-Wallet,34222.05,P01,147
581,930,Cash,6366.26,P01,2
582,967,Credit Card,14385.78,P02,336
583,122,Credit Card,29413.92,P01,329
584,836,E-Wallet,39048.39,,55
585,45,E-Wallet,20366.54,,111
586,816,Cash,14042.68,P02,40
587,312,Credit Card,10623.97,P01,90
588,6,Cash,18602.92,P01,278
589,195,Credit Card,14960.98,,156
590,359,E-Wallet,24029.31,P02,318
591,785,Credit Card,18396.89,P02,306
592,681,Cash,28389.09,P01,121
593,57,Credit Card,19521.28,,314
594,266,Cash,35815.13,,292
595,724,E-Wallet,40024.39,P01,64
596,710,Credit Card,13102.01,,160
597,716,Credit Card,23710.75,P02,309
598,34,Credit Card,29221.65,P02,261
599,255,E-Wallet,21480.22,P02,101
600,999,Cash,15117.42,P01,153
601,961,E-Wallet,12855.53,,117
602,429,Credit Card,18308.86,P01,29
603,855,E-Wallet,35999.9,,12
604,534,Credit Card,42131.05,P01,252
605,815,E-Wallet,31755.06,P02,24
606,985,E-Wallet,45058.57,P02,104
607,218,Credit Card,21784.1,,178
608,801,Credit Card,26001.84,,324
609,767,Cash,7727.05,P02,145
610,639,Cash,21827.65,,149
611,92,Cash,7044.33,,66
612,431,E-Wallet,42549.7,,282
613,296,E-Wallet,26001.91,P01,19
614,195,Cash,45036.86,P02,87
615,252,E-Wallet,11937.77,,107
616,325,Cash,35716.18,P01,102
617,451,Credit Card,47127.45,P02,139
618,302,E-Wallet,29053.85,P02,269
619,498,Cash,28897.47,,65
620,166,Credit Card,18977.56,P01,298
621,906,Cash,45921.01,,215
622,790,Cash,32792.92,P01,342
623,890,Cash,13861.92,P02,319
624,69,E-Wallet,19495.6,P01,3
625,817,Credit Card,47804.04,P01,68
626,301,Credit Card,34659.41,P01,265
627,885,Credit Card,30202.83,P01,54
628,280,Credit Card,15967.31,P02,327
629,223,Credit Card,26174.67,,206
630,732,E-Wallet,6283.3,,74
631,418,E-Wallet,47277.15,P02,157
632,530,Cash,11181.14,P02,201
633,88,E-Wallet,46695.05,P02,186
634,465,E-Wallet,8629.98,P02,19
635,356,E-Wallet,23739.49,,123
636,409,Credit Card,25924.58,P01,233
637,367,E-Wallet,9858.52,P02,204
638,696,E-Wallet,49264.77,P02,83
639,217,E-Wallet,45537.73,P01,106
640,896,Credit Card,34758.41,,72
641,288,E-Wallet,17292.58,,68
642,238,Cash,21505.09,P01,330
643,869,Cash,7985.23,P02,109
644,982,E-Wallet,40130.08,P02,63
645,414,Credit Card,34226.26,P01,249
646,507,Credit Card,11566.69,,25
647,554,Credit Card,30072.88,,195
648,518,Cash,37393.65,,138
649,274,E-Wallet,49110.07,P01,65
650,159,Cash,41530.93,P02,81
651,186,Credit Card,26786.67,P01,5
652,111,E-Wallet,43308.48,P02,32
653,50,Cash,33472.41,P01,270
654,278,Cash,5160.14,,354
655,707,Cash,45461.21,P01,39
656,592,Credit Card,33322.54,P02,94
657,154,Credit Card,33886.31,,364
658,578,Cash,15206.81,P02,243
659,962,Cash,8625.64,,347
660,96,Credit Card,49062.97,P02,160
661,506,Credit Card,40697.4,P02,347
662,376,Credit Card,30262.24,P01,150
663,352,Cash,44174.94,,188
664,590,E-Wallet,25550.04,P02,238
665,987,E-Wallet,45966.06,,283
666,223,Credit Card,38267.17,,124
667,909,E-Wallet,37643.98,P01,162
668,851,E-Wallet,37116.51,,117
669,76,Credit Card,10266.58,,12
670,332,Cash,10128.53,,232
671,229,E-Wallet,41303.18,,300
672,509,Credit Card,26033.61,P02,353
673,926,Cash,20715.0,P01,340
674,937,E-Wallet,14186.52,P01,349
675,977,E-Wallet,9527.96,,327
676,230,Credit Card,28799.69,P01,88
677,907,Cash,41806.87,P01,334
678,998,Credit Card,17864.08,P02,152
679,126,Cash,6836.71,,306
680,137,Credit Card,49803.47,P02,353
681,58,Cash,16790.32,,311
682,455,E-Wallet,12112.1,,340
683,832,Credit Card,24250.83,,52
684,336,E-Wallet,41417.06,,7
685,119,E-Wallet,22867.76,,184
686,962,Cash,48693.92,P01,28
687,820,E-Wallet,46476.42,P01,8
688,953,Credit Card,8647.32,,61
689,871,Credit Card,41265.71,P02,216
690,398,E-Wallet,33493.76,,102
691,218,Credit Card,40794.36,P02,25
692,280,Credit Card,25362.48,,268
693,766,Cash,26997.32,P01,328
694,948,E-Wallet,27986.71,P02,258
695,425,Credit Card,19719.41,P02,191
696,780,E-Wallet,34311.2,P01,355
697,399,E-Wallet,24060.46,P01,165
698,7,E-Wallet,12864.63,,8
699,104,Credit Card,24593.11,P01,316
700,961,Credit Card,43030.14,P02,25
701,955,E-Wallet,16200.48,,294
702,991,Cash,9775.71,P02,128
703,250,Credit Card,41804.16,P02,336
704,565,Cash,11524.69,P01,75
705,749,E-Wallet,17289.99,P01,7
706,454,E-Wallet,38231.81,P01,136
707,61,Cash,30114.97,,334
708,454,E-Wallet,12479.79,P01,118
709,962,E-Wallet,20641.42,P01,203
710,202,Credit Card,18306.49,P01,129
711,350,E-Wallet,18318.34,P01,12
712,842,Cash,49234.63,,311
713,928,E-Wallet,28967.2,,116
714,95,Credit Card,39525.78,,23
715,979,Cash,22590.52,P02,91
716,743,E-Wallet,12336.27,P01,42
717,385,Credit Card,16549.9,,68
718,745,Credit Card,8216.44,,204
719,192,Cash,18391.45,P01,36
720,617,Credit Card,34654.73,,185
721,469,Cash,39201.83,P02,88
722,686,Credit Card,34373.89,P02,313
723,704,Cash,45263.57,,343
724,81,Cash,6052.22,,294
725,374,Credit Card,40885.16,,190
726,482,E-Wallet,18914.12,P02,326
727,781,E-Wallet,13989.56,P01,180
728,452,Cash,41568.72,P01,200
729,733,Credit Card,10136.72,P01,157
730,986,Credit Card,13950.37,,106
731,26,Credit Card,14521.05,P01,214
732,692,Credit Card,37625.67,,121
733,179,E-Wallet,43357.05,P01,18
